year,sp,effort,source,source2
1997,Sprat,0.9233368608915395,FishMIP_assessment F max,FishMIP F scaled
1998,Sprat,0.6598931951666883,FishMIP_assessment F max,FishMIP F scaled
1999,Sprat,0.5589077375459006,FishMIP_assessment F max,FishMIP F scaled
2000,Sprat,0.6709083459608042,FishMIP_assessment F max,FishMIP F scaled
2001,Sprat,0.5639450308965527,FishMIP_assessment F max,FishMIP F scaled
2002,Sprat,0.7379318805286299,FishMIP_assessment F max,FishMIP F scaled
2003,Sprat,0.6689502489825271,FishMIP_assessment F max,FishMIP F scaled
2004,Sprat,0.9618166514584809,FishMIP_assessment F max,FishMIP F scaled
2005,Sprat,0.9499517782372062,FishMIP_assessment F max,FishMIP F scaled
2006,Sprat,0.5451274350126393,FishMIP_assessment F max,FishMIP F scaled
2007,Sprat,0.4627290368190504,FishMIP_assessment F max,FishMIP F scaled
2008,Sprat,0.4354306716071494,FishMIP_assessment F max,FishMIP F scaled
2009,Sprat,0.37409729114631857,FishMIP_assessment F max,FishMIP F scaled
2010,Sprat,0.3830724279318984,FishMIP_assessment F max,FishMIP F scaled
1961,Herring,0.06995652645489514,FishMIP_assessment F max,FishMIP F scaled
1962,Herring,0.08155741370978159,FishMIP_assessment F max,FishMIP F scaled
1963,Herring,0.015934885902007742,FishMIP_assessment F max,FishMIP F scaled
1964,Herring,0.08367078128849378,FishMIP_assessment F max,FishMIP F scaled
1965,Herring,0.026712417128209764,FishMIP_assessment F max,FishMIP F scaled
1966,Herring,0.05810284959223283,FishMIP_assessment F max,FishMIP F scaled
1967,Herring,0.035551658574066,FishMIP_assessment F max,FishMIP F scaled
1968,Herring,0.031119821324485125,FishMIP_assessment F max,FishMIP F scaled
1969,Herring,0.031194307902236623,FishMIP_assessment F max,FishMIP F scaled
1970,Herring,0.07420800268528382,FishMIP_assessment F max,FishMIP F scaled
1971,Herring,0.05223019346286745,FishMIP_assessment F max,FishMIP F scaled
1972,Herring,0.02588468589302409,FishMIP_assessment F max,FishMIP F scaled
1973,Herring,0.12158781104719321,FishMIP_assessment F max,FishMIP F scaled
1974,Herring,0.12195338774517608,FishMIP_assessment F max,FishMIP F scaled
1975,Herring,0.12660571760937245,FishMIP_assessment F max,FishMIP F scaled
1976,Herring,0.210895916127869,FishMIP_assessment F max,FishMIP F scaled
1977,Herring,0.1039220168532122,FishMIP_assessment F max,FishMIP F scaled
1978,Herring,0.12396155325984656,FishMIP_assessment F max,FishMIP F scaled
1979,Herring,0.2401513334081769,FishMIP_assessment F max,FishMIP F scaled
1980,Herring,0.07859495189091137,FishMIP_assessment F max,FishMIP F scaled
1981,Herring,0.15247335529919975,FishMIP_assessment F max,FishMIP F scaled
1982,Herring,0.0025089101907863065,FishMIP_assessment F max,FishMIP F scaled
1983,Herring,1e-4,FishMIP_assessment F max,FishMIP F scaled
1984,Herring,0.019223019560736382,FishMIP_assessment F max,FishMIP F scaled
1985,Herring,1e-4,FishMIP_assessment F max,FishMIP F scaled
1986,Herring,0.011750976960256787,FishMIP_assessment F max,FishMIP F scaled
1987,Herring,0.02112044740820994,FishMIP_assessment F max,FishMIP F scaled
1988,Herring,0.002781638921187962,FishMIP_assessment F max,FishMIP F scaled
1989,Herring,0.005727286407494439,FishMIP_assessment F max,FishMIP F scaled
1990,Herring,0.02332239111569287,FishMIP_assessment F max,FishMIP F scaled
1991,Herring,0.10952913876319395,FishMIP_assessment F max,FishMIP F scaled
1992,Herring,0.20048732611083137,FishMIP_assessment F max,FishMIP F scaled
1993,Herring,0.1311154117579709,FishMIP_assessment F max,FishMIP F scaled
1994,Herring,0.39314540558661004,FishMIP_assessment F max,FishMIP F scaled
1995,Herring,0.31230615211148655,FishMIP_assessment F max,FishMIP F scaled
1996,Herring,0.527841688827239,FishMIP_assessment F max,FishMIP F scaled
1997,Herring,0.8590808608915396,FishMIP_assessment F max,FishMIP F scaled
1998,Herring,0.5956371951666883,FishMIP_assessment F max,FishMIP F scaled
1999,Herring,0.49465173754590064,FishMIP_assessment F max,FishMIP F scaled
2000,Herring,0.6066523459608042,FishMIP_assessment F max,FishMIP F scaled
2001,Herring,0.4996890308965527,FishMIP_assessment F max,FishMIP F scaled
2002,Herring,0.6736758805286299,FishMIP_assessment F max,FishMIP F scaled
2003,Herring,0.6046942489825271,FishMIP_assessment F max,FishMIP F scaled
2004,Herring,0.897560651458481,FishMIP_assessment F max,FishMIP F scaled
2005,Herring,0.8856957782372062,FishMIP_assessment F max,FishMIP F scaled
2006,Herring,0.4808714350126393,FishMIP_assessment F max,FishMIP F scaled
2007,Herring,0.39847303681905044,FishMIP_assessment F max,FishMIP F scaled
2008,Herring,0.3711746716071494,FishMIP_assessment F max,FishMIP F scaled
2009,Herring,0.3098412911463186,FishMIP_assessment F max,FishMIP F scaled
2010,Herring,0.3188164279318984,FishMIP_assessment F max,FishMIP F scaled
